name_in_HDF5_file,updated_name,group,ipyrad_state,reads_raw,reads_passed_filter,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
ayavacense_PWS_3883,seemenii-PWS_3883,c4,7,24427056,24350664,22574729,1775935,171068,153065,0.005,1.29E-03,147973,91271
ayavacense_PWS_3884,seemenii-PWS_3884,c4,7,5250815,5233886,4588325,645561,82064,73284,0.003,1.29E-03,71855,56472
ayavacense_PWS_3885,seemenii-PWS_3885,c4,7,3636859,3625273,3196501,428772,64772,57503,0.002,1.24E-03,56581,46554
ayavacense_PWS_3886,seemenii-PWS_3886,c4,7,6101019,6081594,5159255,922339,88450,79277,0.003,1.31E-03,77741,59797
ayavacense_PWS_3887,seemenii-PWS_3887,c4,7,5896299,5876282,5238121,638161,87711,78551,0.003,1.33E-03,77027,59381
ayavacense_PWS_3888,seemenii-PWS_3888,c4,7,7256300,7232846,6781077,451769,106663,95432,0.003,1.32E-03,93299,68044
ayavacense_PWS_3889,seemenii-PWS_3889,c4,7,5998181,5974694,5672115,302579,96019,85835,0.003,1.33E-03,83967,62885
ayavacense_PWS_3890,seemenii-PWS_3890,c4,7,5058182,5042372,4835404,206968,81874,72778,0.003,1.30E-03,71379,56070
ayavacense_PWS_3891,seemenii-PWS_3891,c4,7,4960751,4944398,4626778,317620,80778,71622,0.003,1.33E-03,70166,55113
ayavacense_PWS_3892,seemenii-PWS_3892,c4,7,6246065,6225957,5668069,557888,93287,83400,0.003,1.31E-03,81658,61911
ayavacense_PWS_3893,seemenii-PWS_3893,c4,7,4103821,4090593,3773864,316729,72397,64527,0.002,1.24E-03,63342,51034
ayavacense_PWS_3901,seemenii-PWS_3901,c6,7,5554353,5536963,5179927,357036,79531,70949,0.003,1.31E-03,69541,55089
ayavacense_PWS_3902,seemenii-PWS_3902,c6,7,5025862,5009714,3657582,1352132,65433,58163,0.002,1.27E-03,57141,46940
ayavacense_PWS_3903,seemenii-PWS_3903,c6,7,13340704,13296930,12677316,619614,123124,109715,0.004,1.24E-03,106800,77622
ayavacense_PWS_3904,seemenii-PWS_3904,c5,7,6366966,6346865,4873362,1473503,84953,75855,0.003,1.31E-03,74449,58183
ayavacense_PWS_3905,seemenii-PWS_3905,c5,7,7690047,7666013,6936137,729876,100725,90211,0.003,1.33E-03,88237,65929
ayavacense_PWS_3906,seemenii-PWS_3906,c5,7,5287701,5269705,4209609,1060096,79709,71026,0.003,1.31E-03,69666,55166
ayavacense_PWS_3907,seemenii-PWS_3907,c5,7,4587015,4572208,4272536,299672,77692,69029,0.002,1.26E-03,67822,53897
ayavacense_PWS_3908,seemenii-PWS_3908,c5,7,12326120,12287145,5339083,6948062,89416,79406,0.003,1.32E-03,77777,60133
ayavacense_PWS_4002,ayavacense-PWS_4002,out,7,1227616,1226658,1040314,186344,44733,38878,0.002,6.28E-04,38425,36227
hallii_PWS_4020,seemenii-PWS_4020,c2,7,1374335,1372407,1010260,362147,43140,37354,0.002,7.03E-04,36898,34630
hallii_PWS_4021,seemenii-PWS_4021,c2,7,5575229,5571648,3788938,1782710,92806,84257,0.004,7.93E-04,82697,75419
hallii_PWS_4022,seemenii-PWS_4022,c2,7,24856096,24841833,13625214,11216619,122613,109943,0.006,8.57E-04,106567,91470
hallii_PWS_4023,seemenii-PWS_4023,c2,7,2428442,2427065,1567951,859114,58895,51908,0.003,7.76E-04,51149,48000
hallii_PWS_4024,seemenii-PWS_4024,c2,7,2321834,2320420,1335637,984783,51435,44964,0.002,6.39E-04,44408,41535
hallii_PWS_4025,seemenii-PWS_4025,c2,7,2573914,2572388,1433722,1138666,58376,51147,0.003,7.33E-04,50491,47302
incarum_PWS_4026,incarum-PWS_4026,c1,7,1977088,1975491,1885924,89567,60382,53328,0.003,6.91E-04,52562,49297
incarum_PWS_4027,incarum-PWS_4027,c1,7,1508181,1506921,1378688,128233,54891,48172,0.002,6.63E-04,47556,44660
incarum_PWS_4028,incarum-PWS_4028,c1,7,6458737,6454949,6154499,300450,102086,92945,0.004,7.84E-04,91020,81443
incarum_PWS_4029,incarum-PWS_4029,c1,7,9865599,9860429,9049763,810666,110950,101044,0.005,7.91E-04,98698,86444
incarum_PWS_4030,incarum-PWS_4030,c1,7,1359420,1357956,1182959,174997,47834,41786,0.002,6.98E-04,41310,39148
seemenii_Fuentes_4724,seemenii-Fuentes_4724,c3,7,2149681,2050227,1961071,89156,68323,61846,0.003,1.77E-03,60967,56348
seemenii_Fuentes_8750,seemenii-Fuentes_8750,c3,7,2040981,2032396,1806281,226115,86385,74042,0.002,1.86E-03,73132,56354
seemenii_Maldonado_3040,seemenii-Maldonado_3040,c3,7,2070865,2043057,1791318,251739,65992,59537,0.003,1.86E-03,58685,54545
seemenii_PWS_3894,new_name_2-PWS_3894,c7,7,6348703,6329328,5771215,558113,91326,82323,0.003,1.27E-03,80674,61360
seemenii_PWS_3895,new_name_2-PWS_3895,c7,7,5733061,5713979,5273119,440860,86310,77304,0.003,1.32E-03,75742,58723
seemenii_PWS_3896,new_name_2-PWS_3896,c7,7,12530157,12488908,10897211,1591697,131347,118696,0.004,1.36E-03,115521,78612
seemenii_PWS_3897,new_name_2-PWS_3897,c7,7,7349701,7327410,6149254,1178156,94740,85337,0.003,1.33E-03,83605,63022
seemenii_PWS_3898,new_name_2-PWS_3898,c7,7,10198822,10165759,9152775,1012984,122448,109947,0.004,1.35E-03,107272,75394
seemenii_PWS_3899,new_name_2-PWS_3899,c7,7,4379235,4365138,3820053,545085,69971,62331,0.003,1.23E-03,61234,49960
